name	smiles	source
Tristriphenylphosphine rhodium chloride	[Cl][Rh]([Cl])[Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
acetamido	CC([NH])=O	OPSIN
bis-triphenylphosphine palladium (II) chloride	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
cuprous thiocyanate	N#C[S][Cu]	OPSIN
diethyl ethoxymagnesium malonate	CCC(C)(CC)[O][Mg+2].O=C([O-])CC(=O)[O-]	OPSIN
ethylene bis-stearoylamide	C=C.CCCCCCCCCCCCCCCCCC(=O)[N-]C(=O)CCCCCCCCCCCCCCCCC	OPSIN
ferric oxide	[Fe+3].[Fe+3].[O-2].[O-2].[O-2]	OPSIN
ferrous sulphate heptahydrate	O.O.O.O.O.O.O.O=S(=O)([O-])[O-].[Fe+2]	OPSIN
fluorosilicic acid	F[Si-2](F)(F)(F)(F)F.[H+].[H+]	OPSIN
isopropyl ether	CC(C)OC(C)C	OPSIN
magnesium (IV) oxide	[Mg+4].[O-2].[O-2]	OPSIN
mercuric iodide	[I][Hg][I]	OPSIN
palladium dichloride bis-triphenylphosphine	[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
sodium isobutylate	CC(C)C[O-].[Na+]	OPSIN
stannic tetrachloride	[Cl][Sn]([Cl])([Cl])[Cl]	OPSIN
stannous dichloride	[Cl][Sn][Cl]	OPSIN
t-butoxycarbonyl	CC(C)(C)O[C]=O	OPSIN
tert-butyldimethylsilyl	C[Si](C)C(C)(C)C	OPSIN
trisdibenzylideneacetone dipalladium	O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.[Pd].[Pd]	OPSIN
2,2-bis-tri-fluoromethyl-2-hydroxyacetic acid	O=C(O)C(O)(C(F)(F)F)C(F)(F)F	OPSIN
3-butylsydnoneimine	CCCC[n+]1cc(=N)o[n-]1	OPSIN
Ferrous sulfate heptahydrate	O.O.O.O.O.O.O.O=S(=O)([O-])[O-].[Fe+2]	OPSIN
Fmoc-amino	[NH]C(=O)OCC1c2ccccc2-c2ccccc21	OPSIN
Sodium tert-butylate	CC(C)(C)[O-].[Na+]	OPSIN
TBDPS	CC(C)(C)[Si](c1ccccc1)c1ccccc1	OPSIN
[4-chloro-9-(2,2-dimethyl-propyl)-8-oxo-3,6,7,8,9,10-hexahydro-2,3,9-triaza-(S)-cyclohepta[e]inden-7-yl]acetic acid	CC(C)(C)CN1Cc2c(cc(Cl)c3[nH]ncc23)C[C@@H](CC(=O)O)C1=O	OPSIN
cupric hydroxide	[OH][Cu][OH]	OPSIN
cupric nitrate	O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Cu+2]	OPSIN
dichloride palladium(II)	[Cl-].[Cl-].[Pd+2]	OPSIN
formylamino	[NH]C=O	OPSIN
isobutyl	[CH2]C(C)C	OPSIN
methylene chloride	ClCCl	OPSIN
phosphorous acid trisdiethylamide	CCN(CC)P(N(CC)CC)N(CC)CC	OPSIN
potassium tertbutylate	CC(C)(C)[O-].[K+]	OPSIN
potassium-t-butylate	CC(C)(C)[O-].[K+]	OPSIN
sodium n-propoxide	CCC[O-].[Na+]	OPSIN
stannous chloride hydrate	O.[Cl][Sn][Cl]	OPSIN
stannous chloride, dihydrate	O.O.[Cl][Sn][Cl]	OPSIN
t-butyl	C[C](C)C	OPSIN
tetrakis(triphenylphosphane) palladium	[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1	OPSIN
(E)- and (Z)-2-methyl-2-butenenitrile	CC=C(C)C#N	OPSIN
(E)- and (Z)-2-methyl-2-butenoic acid	CC=C(C)C(=O)O	OPSIN
(R)-1-(3-methoxymethoxyphenyl)-1,2-ethanediol 2-tosylate	COCOc1cccc([C@@H](O)COS(=O)(=O)c2ccc(C)cc2)c1	OPSIN
2-(1H-benzo[d][1,2,3]triazol-1-yl)-1,1,3,3-tetramethylisouronium hexafluorophosphate	CN(C)C(On1nnc2ccccc21)=[N+](C)C.F[P-](F)(F)(F)(F)F	OPSIN
2-ethyl	[CH2]C	OPSIN
3-cyano-5-methoxybenzyltriflate	COc1cc(C#N)cc(COS(=O)(=O)C(F)(F)F)c1	OPSIN
3-cyano-5-methoxyphenyltriflate	COc1cc(C#N)cc(OS(=O)(=O)C(F)(F)F)c1	OPSIN
4-(2-oxo-1,4-dihydro-2H-quinazolin-3-yl)-piperidine-1-carboxylic acid [8-oxo-9-(2-piperidin-1-yl-ethyl)-3,6,7,8,9,10-hexahydro-2,3,9-triaza-(R)-cyclohepta[e]inden-7-yl]-amide	O=C(N[C@@H]1Cc2ccc3[nH]ncc3c2CN(CCN2CCCCC2)C1=O)N1CCC(N2Cc3ccccc3NC2=O)CC1	OPSIN
5,6-dihydro-4H-pyrrolo[3,2,1-ij]quinolin-1-yl	[c]1cn2c3c(cccc13)CCC2	OPSIN
CBZ	O=[C]OCc1ccccc1	OPSIN
Cupric chloride	[Cl][Cu][Cl]	OPSIN
