dataset_id,position,signature,count,example
5e8318f0dda04b398c14f4c3adfeb32c,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,24,Mon Jan 20 03:51:33 2025
5eb7f2689f4a42eba63ad9e37e49a5cd,outcomes[].analyses{}.instrument_last_calibrated,,156,
5eb7f2689f4a42eba63ad9e37e49a5cd,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",39,"6/26/2021, 4:31:37 PM"
5eb7f2689f4a42eba63ad9e37e49a5cd,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,39,Wed Jun 30 22:49:12 2021
675eddcaa6674ce3ae61e79bbc1e1c08,outcomes[].analyses{}.instrument_last_calibrated,,1536,
675eddcaa6674ce3ae61e79bbc1e1c08,provenance.record_created.time,"N/N/NNNN, NN:NN:NN AP",1536,"8/9/2023, 10:44:35 PM"
675eddcaa6674ce3ae61e79bbc1e1c08,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,1536,Wed Aug 30 19:13:03 2023
68cb8b4b2b384e3d85b5b1efae58b203,outcomes[].analyses{}.instrument_last_calibrated,,5760,
68cb8b4b2b384e3d85b5b1efae58b203,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",5760,"2/25/2021, 1:05:42 PM"
68cb8b4b2b384e3d85b5b1efae58b203,provenance.record_modified[].time,DAY MON  N NN:NN:NN NNNN,5760,Wed Mar  3 19:46:44 2021
68cb8b4b2b384e3d85b5b1efae58b203,provenance.record_modified[].time,NNNN-NN-NN NN:NN:NN.NNNNNN,5760,2021-03-04 13:56:15.292871
6a0bfcdf53a64c07987822162ae591e2,outcomes[].analyses{}.instrument_last_calibrated,,9,
6a0bfcdf53a64c07987822162ae591e2,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",3,"05/27/2021, 09:19:59"
6a0bfcdf53a64c07987822162ae591e2,provenance.record_modified[].time,DAY MON  N NN:NN:NN NNNN,6,Fri Jun  4 22:43:36 2021
7acd6ad2bf4d4cff841cad008ab726d5,outcomes[].analyses{}.instrument_last_calibrated,,960,
7acd6ad2bf4d4cff841cad008ab726d5,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",960,"8/21/2023, 3:49:20 PM"
7acd6ad2bf4d4cff841cad008ab726d5,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,960,Thu Aug 31 18:34:10 2023
7d8f5fd922d4497d91cb81489b052746,outcomes[].analyses{}.instrument_last_calibrated,,1536,
7d8f5fd922d4497d91cb81489b052746,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",1536,"10/15/2020, 16:38:43"
7d8f5fd922d4497d91cb81489b052746,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,1536,Thu Oct 29 16:48:31 2020
7d8f5fd922d4497d91cb81489b052746,provenance.record_modified[].time,"NN/NN/NNNN, NN:NN:NN",1536,"12/21/2020, 10:00:37"
7d8f5fd922d4497d91cb81489b052746,provenance.record_modified[].time,NNNN-NN-NN NN:NN:NN.NNNNNN,1536,2021-03-04 14:08:27.746479
805ad863feef48579d95d86a728035f4,outcomes[].analyses{}.instrument_last_calibrated,,50688,
805ad863feef48579d95d86a728035f4,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",50688,"06/19/2026, 16:53:27"
805ad863feef48579d95d86a728035f4,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,50688,Fri Jun 19 23:24:03 2026
89b083710e2d441aa0040c361d63359f,outcomes[].analyses{}.instrument_last_calibrated,,120,
89b083710e2d441aa0040c361d63359f,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",24,"05/08/2021, 10:29:17"
89b083710e2d441aa0040c361d63359f,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,24,Wed May 26 21:14:05 2021
8d1e28ec1f6b4ee8ad372e0b5ed7a62e,outcomes[].analyses{}.instrument_last_calibrated,,81,
8d1e28ec1f6b4ee8ad372e0b5ed7a62e,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",27,"07/24/2021, 07:48:43"
8d1e28ec1f6b4ee8ad372e0b5ed7a62e,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,27,Wed Jul 28 21:07:39 2021
99c23cf435dc42f1af884053bc8b11c7,outcomes[].analyses{}.instrument_last_calibrated,,2360,
99c23cf435dc42f1af884053bc8b11c7,provenance.record_created.time,NNNN-NN-NN,1111,2024-07-30
99c23cf435dc42f1af884053bc8b11c7,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,1111,Tue Aug 13 21:33:01 2024
9b8aa9a7835143ef8ce3f70abfab7545,outcomes[].analyses{}.instrument_last_calibrated,,1670,
9b8aa9a7835143ef8ce3f70abfab7545,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",1762,"11/25/2022, 09:26:40"
9b8aa9a7835143ef8ce3f70abfab7545,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,1762,Fri Nov 25 14:26:47 2022
a12fa15d036d489c971b0b514caeae52,outcomes[].analyses{}.instrument_last_calibrated,,288,
a12fa15d036d489c971b0b514caeae52,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",288,"7/24/2024, 3:36:42 PM"
a12fa15d036d489c971b0b514caeae52,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,288,Wed Jul 31 22:03:49 2024
a12fa15d036d489c971b0b514caeae52,provenance.record_modified[].time,"NN/NN/NNNN, NN:NN:NN",97,"12/18/2024, 17:08:03"
ac78456835404910b3a4c840248b6ac9,outcomes[].analyses{}.instrument_last_calibrated,,1728,
ac78456835404910b3a4c840248b6ac9,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",1728,"6/16/2021, 9:09:20 AM"
ac78456835404910b3a4c840248b6ac9,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,1728,Tue Jul 13 21:49:29 2021
b440f8c90b6343189093770060fc4098,outcomes[].analyses{}.instrument_last_calibrated,,1152,
