name	status	smiles	lines	seconds	throttle
(1S,2R)-norephedrine	200	C[C@H]([C@H](C1=CC=CC=C1)O)N	1	0.221	Request Count status: Green (17%), Request Time status: Green (0%), Service status: Green (13%)
7-OH	404		0	0.174	Request Count status: Green (17%), Request Time status: Green (0%), Service status: Green (20%)
arylaminonicotinate	404		0	0.179	Request Count status: Green (17%), Request Time status: Green (0%), Service status: Green (17%)
compound 1002	200	CN(CC1=CC=CC=C1)CC(COC2=CC=CC(=C2)C(F)(F)F)O	1	0.246	Request Count status: Green (18%), Request Time status: Green (0%), Service status: Green (20%)
[1,1′-bis (diphenylphosphino)-1-ferrocene]-palladium II chloride	404		0	0.28	Request Count status: Green (18%), Request Time status: Green (0%), Service status: Green (20%)
n-tributyl stannous hydride	404		0	0.174	Request Count status: Green (17%), Request Time status: Green (0%), Service status: Green (27%)
29g	200	C1=C2C(=NC(=NC2=NC=N1)N)N	1	0.206	Request Count status: Green (18%), Request Time status: Green (0%), Service status: Green (13%)
Pyrrolidone hydrotribromide	404		0	0.199	Request Count status: Green (17%), Request Time status: Green (0%), Service status: Green (23%)
olefins 3,3-dimethyl-1-butene	404		0	0.165	Request Count status: Green (17%), Request Time status: Green (0%), Service status: Green (23%)
1,2-(N,N-dimethyl) cyclohexyl diamine	404		0	0.172	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (13%)
(2R)-11-[3,17p-dihydroxyestra-1,3,5(10)-trien-11β-yl]-2-(3,3,4,4,5,5,6,6,6-nonafluorohexyl)undecanic acid	404		0	0.163	Request Count status: Green (18%), Request Time status: Green (0%), Service status: Green (17%)
1,1,1-trichloroethanol	404		0	0.161	Request Count status: Green (18%), Request Time status: Green (0%), Service status: Green (17%)
(S)-ethyl 3-(3-bromo-5-(tert-butyl)phenyl)-3-(2-(3-guanidinobenzamido)acetamido) propanoate	404		0	0.169	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (13%)
NaBH3(OAc)3	404		0	0.174	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (43%)
1-1-methyl-2-pyrrolidinone	404		0	0.209	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (20%)
[Re(CO)3][2-(2-(((carboxymethyl)(4-sulfamoylphenethyl)amino) methyl)-1H-imidazol-1-yl)acetic acid]	404		0	0.28	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (27%)
SM/product ~1/1	404		0	0.165	Request Count status: Green (18%), Request Time status: Green (0%), Service status: Green (23%)
4a.2	404		0	0.195	Request Count status: Green (19%), Request Time status: Green (0%), Service status: Green (23%)
ammonium laureth-3 sulfate	200	CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[NH4+]	1	0.201	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (17%)
give(S)-1-cyclopentyl-5-fluoro-6-methyl-2-(5-(N-(1,1,1-trifluoropropan-2-yl)sulfamoyl)pyridin-2-yl)-1H-indole-3-carboxylic acid	404		0	0.194	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (30%)
3-oxime	404		0	0.179	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (23%)
4-(2-Oxo-2-piperidin-1-yl-ethyl)-cyclohexan-1-(S)-,2-(S)-dicarboxylic acid 2-(S)-(benzyloxy-amide)	404		0	0.238	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (17%)
hydrated sodium sulfide	404		0	0.246	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (23%)
dibutyltridichloride	404		0	0.196	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (33%)
Na2S3O3	404		0	0.178	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (33%)
ADP-Glo	404		0	0.178	Request Count status: Green (19%), Request Time status: Green (1%), Service status: Green (27%)
(S,S)-[N,N′-bis(3,5-di-tertbutylsalicylidene)-1,2-cyclohexanediaminato(2-)]manganese(III) chloride	404		0	0.188	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (30%)
CC 48303	404		0	0.157	Request Count status: Green (21%), Request Time status: Green (1%), Service status: Green (33%)
BF3 ·Et2O	404		0	0.16	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (30%)
intermediate 137	404		0	0.158	Request Count status: Green (21%), Request Time status: Green (1%), Service status: Green (17%)
methyl 3-(isobornyloxycarbonylamino)-1-(2,4-dimethoxybenzyl)-4-oxoazetidine-2-carboxylate	404		0	0.173	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (47%)
5-acetylthio	404		0	0.182	Request Count status: Green (20%), Request Time status: Green (1%), Service status: Green (40%)
aryl iodonium	404		0	0.195	Request Count status: Green (21%), Request Time status: Green (1%), Service status: Green (33%)
poly-d-L-lactide	404		0	0.199	Request Count status: Green (21%), Request Time status: Green (1%), Service status: Green (40%)
7d	404		0	0.379	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (27%)
L-menthoxyacetamide	404		0	0.407	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (27%)
(S)-2-[[[1-[[(S)-2-[[(1,1-dimethylethoxycarbonyl]amino]-1-oxohexyl]amino]pentyl]hydroxyphosphinyl]oxyl]-1-oxopropyl]-L-proline, ethyl ester	404		0	0.339	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (23%)
2,2-dimethylpropyl chloroformate (neopentyl chloroformate)	404		0	0.224	Request Count status: Green (21%), Request Time status: Green (1%), Service status: Green (23%)
methyl 1,3-O-benzylidene-α-D-fructofuranoside	404		0	0.265	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (27%)
triphenylcarbenium(tetrakispentafluorophenyl)borate	404		0	0.17	Request Count status: Green (21%), Request Time status: Green (1%), Service status: Green (37%)
(CDCl3)δ	404		0	0.159	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (23%)
trans-2-p-nitrophenylbicyclo[2,2,2]octane-3-carboxyaldehyde	404		0	0.344	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (33%)
1,4-CHDM	404		0	0.172	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (23%)
(3-trifluoromethyl)phenylacetic acid	404		0	0.186	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (33%)
NaCo(CO)4	200	[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Na].[Co]	1	0.213	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (30%)
trimethylacetylene	404		0	0.17	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (37%)
tetrakis(triphenylphosine) palladium (0)	404		0	0.206	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (27%)
cis-1,2-cyclopentanecarboxylic acid	404		0	0.239	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (23%)
sand	200	O=[Si]=O	1	0.204	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (20%)
11f2	404		0	0.163	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (27%)
petroleum ether isopropyl ether	404		0	0.16	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (33%)
Bromo-4-metboxy-2-methoxymethoxybenzene	404		0	0.178	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (33%)
N—N-dimethylformamide	404		0	0.187	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (30%)
p-nitrophenylchloroformate	200	C1=CC(=CC=C1[N+](=O)[O-])OC(=O)Cl	1	0.235	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (33%)
[bmim][NTf2]	200	CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F	1	0.212	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (30%)
1,6 Phenylboronic acid	404		0	0.159	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (33%)
allylester	404		0	0.171	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (30%)
2-methylpyridone	404		0	0.175	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (30%)
5-(tert-butyl-dimethyl-silanyloxymethyl)-1H-indole-2-boronic acid 1-carboxylic acid tert-butyl ester	404		0	0.265	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (20%)
phosphate salt	404		0	0.155	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (10%)
metathesis catalyst	404		0	0.186	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (37%)
5-5-dimethylhydantoin	404		0	0.21	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (20%)
poly(vinyl alcohol)	404		0	0.181	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (23%)
dioxane,	404		0	0.152	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (27%)
Co(C2H3O2)2.4H2O	404		0	0.162	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (17%)
rac-2-2′-bis(diphenyl-phosphino)-1,1′-binaphthyl	404		0	0.154	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (23%)
ethyl adetate-hexanes	404		0	0.164	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (27%)
Example 42A	404		0	0.159	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (13%)
HRP-EDC	404		0	0.164	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (13%)
1,2-{(5,6-dihydro-5,11-diketo-11H-indeno[1,2-c]isoquinoline)-(6-propyl-tert-BOCamino)}ethane	404		0	0.161	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (17%)
2,4,6-Tripropyl-1,3,5,2,4,6-trioxatriphosorinan-2,4,6-trioxide	404		0	0.19	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (13%)
8-chloro-3-ethoxycarbonyl-7-fluoro-1-(N-formyl-N-methylamino)-4-oxo-1,4-dihydro-benzo[b][1,8]naphthpyridine	404		0	0.186	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (7%)
alkyl phenyl ether	404		0	0.164	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (17%)
(1S*,2S*,5R*,6R*)-2-amino-4-[syn] -hydroximinobicyclo-[3.1.0]hexane-2,6-dicarboxylic acid	404		0	0.171	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (13%)
N-(4-[2-(4-methyl-2-oxo-piperidine-1-carboxamide)-ethyl]-benzenesulfonyl)-N'-cyclohexyl-isourea methyl ether	404		0	0.179	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (27%)
titanium tetra-isopropylate	404		0	0.159	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (7%)
2-[(3-hydroxy-1H-propyl)amino]pyridine-N-oxide	404		0	0.165	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (27%)
2-ethyl-4-(3-chloro-2'-(1H-tetrazol-5-yl)biphenyl-4-yl)methoxy	404		0	0.191	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (17%)
24.g	404		0	0.208	Request Count status: Green (23%), Request Time status: Green (1%), Service status: Green (13%)
CeCl3.7H2O	200	[Cl-].[Cl-].[Cl-].[Ce+3]	1	0.185	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (13%)
27c	200	CCCCOP(=O)(O)OC[C@@H]1[C@H]([C@@H]([C@H](O1)O)F)O	1	0.196	Request Count status: Green (22%), Request Time status: Green (1%), Service status: Green (17%)
